Open,High,Low,Close,Volume,Actual,Predicted
1292.4000244140625,1304.5,1290.300048828125,1301.5999755859375,10468940.0,0,1
1303.5,1325.199951171875,1288.0999755859375,1300.4000244140625,14431012.0,1,0
1340.0,1374.5999755859375,1320.199951171875,1368.800048828125,31104496.0,1,1
1371.0,1410.9000244140625,1370.0,1399.699951171875,32538970.0,1,1
1402.0,1412.4000244140625,1369.0,1405.0,25480745.0,1,0
1414.0,1426.699951171875,1409.0999755859375,1419.800048828125,13007841.0,1,1
1431.0,1439.5,1426.9000244140625,1431.300048828125,12685649.0,0,1
1431.0,1432.0,1410.5999755859375,1420.9000244140625,14084117.0,0,0
1420.9000244140625,1424.4000244140625,1402.699951171875,1406.0,13440169.0,1,0
1404.0999755859375,1420.800048828125,1398.0,1407.0,16106175.0,0,0
1385.5,1394.800048828125,1374.5,1377.199951171875,13668904.0,1,0
1400.0,1439.0,1400.0,1436.5,10674081.0,0,1
1433.5,1447.699951171875,1412.4000244140625,1415.699951171875,11407896.0,1,1
1420.0,1429.9000244140625,1415.5,1424.4000244140625,5570160.0,1,1
1425.0,1461.4000244140625,1412.699951171875,1454.199951171875,20177211.0,1,1
1453.199951171875,1461.0,1447.300048828125,1456.4000244140625,9036695.0,0,0
1452.0999755859375,1454.5999755859375,1438.199951171875,1440.800048828125,6195791.0,0,0
1438.199951171875,1445.0,1421.800048828125,1424.5999755859375,11270560.0,1,1
1423.9000244140625,1436.199951171875,1418.0999755859375,1429.199951171875,6136364.0,0,0
1421.199951171875,1423.800048828125,1396.9000244140625,1409.4000244140625,12134466.0,1,1
1406.5999755859375,1433.800048828125,1406.5999755859375,1426.800048828125,6474883.0,1,0
1432.0,1441.0,1425.0999755859375,1434.800048828125,4842944.0,0,1
1426.0999755859375,1437.0,1413.9000244140625,1422.0999755859375,12640414.0,0,0
1420.0999755859375,1422.5999755859375,1410.699951171875,1412.9000244140625,5944611.0,1,0
1412.0999755859375,1420.0,1408.5999755859375,1417.800048828125,13771917.0,1,0
1418.0,1430.5999755859375,1409.699951171875,1420.9000244140625,13788484.0,0,0
1412.0999755859375,1417.5,1395.5999755859375,1413.699951171875,8098668.0,0,1
1422.300048828125,1426.5,1403.4000244140625,1405.5,11252626.0,1,1
1414.699951171875,1425.699951171875,1406.0999755859375,1423.5,8126827.0,1,1
1428.0,1454.699951171875,1423.5999755859375,1442.4000244140625,13716817.0,1,0
1441.0,1451.5,1437.0,1443.5,8182161.0,1,1
1457.0,1457.5,1445.300048828125,1448.800048828125,7885125.0,0,0
1450.0,1453.9000244140625,1436.0,1438.5,7913181.0,1,0
1445.800048828125,1468.5999755859375,1443.0999755859375,1448.9000244140625,8195700.0,0,1
1453.5,1457.0,1434.4000244140625,1441.5999755859375,8828114.0,0,0
1424.0,1435.5,1414.300048828125,1427.9000244140625,9757276.0,1,1
1426.9000244140625,1442.4000244140625,1424.4000244140625,1437.800048828125,8458093.0,0,1
1448.0,1448.0,1425.800048828125,1431.199951171875,10366599.0,0,1
1430.0,1442.800048828125,1425.699951171875,1430.0999755859375,6681735.0,1,0
1430.0999755859375,1439.9000244140625,1425.699951171875,1433.300048828125,10007230.0,1,1
1431.0,1471.0,1428.0999755859375,1466.199951171875,29010635.0,0,1
1453.0,1463.800048828125,1442.0,1456.800048828125,5989078.0,0,0
1465.0,1475.0,1443.0999755859375,1450.800048828125,16402744.0,1,0
1464.0,1472.4000244140625,1460.5,1467.300048828125,7525851.0,1,0
1469.0999755859375,1498.800048828125,1465.0999755859375,1495.300048828125,14657893.0,1,1
1499.4000244140625,1522.0,1496.9000244140625,1515.4000244140625,11117052.0,0,1
1513.800048828125,1524.800048828125,1496.0,1500.5999755859375,8409527.0,1,1
1500.5999755859375,1531.4000244140625,1500.0999755859375,1528.4000244140625,10368523.0,0,1
1528.4000244140625,1530.0,1508.699951171875,1518.800048828125,6361002.0,0,0
1520.800048828125,1531.9000244140625,1513.0,1517.800048828125,11283291.0,1,1
